ТСН Владис,real_estate_agent,,Балашиха,sale,flat,3,20,1,47.3,-1,0,6499999,, Чистопольская,28,Щёлковская,Эдельвейс-Комфорт
Брусника Обмен,real_estate_agent,,Балашиха,sale,flat,12,17,1,36.0,-1,0,5750000,,шоссе Косинское,6,Ольгино,Новоград Павлино
Стройинвест,representative_developer,,Балашиха,sale,flat,12,17,2,51.6,-1,0,8079760,, Поликахина,2,Лухмановская,Центр-2
Иван Музалевский,realtor,,Балашиха,sale,flat,7,16,1,42.3,-1,0,7250000,, Юбилейная,4к5,Железнодорожная,
Вариант,real_estate_agent,,Балашиха,sale,flat,1,18,1,32.1,-1,0,4850000,, Лесопарковая,18,Железнодорожная,
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,10,17,2,52.7,-1,0,10171100,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ТСН Владис,real_estate_agent,,Балашиха,sale,flat,14,17,1,45.3,-1,0,7349000,, Твардовского,26,Кучино,
ID 408732,homeowner,,Балашиха,sale,flat,5,25,1,33.7,-1,0,5400000,,Балашихинское шоссе,12,Щёлковская,Лесной городок
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,4,17,2,53.6,-1,0,10237600,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
NEWдвижимость Москва,real_estate_agent,,Балашиха,sale,flat,8,20,2,71.3,-1,0,11699000,, Соловьева,1,Кучино,Леоновский парк
Юлия Гущина,realtor,,Балашиха,sale,flat,1,1,2,36.0,-1,0,3250000,,Носовихинское шоссе,91,Никольское,
Самолет,developer,,Балашиха,sale,flat,11,22,1,32.82,-1,0,5971181,,,,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,,Балашиха,sale,flat,20,24,2,59.5,-1,0,9678000,, Разина,1А,Салтыковская,28 микрорайон
Владимир Тарасов,realtor,,Балашиха,sale,flat,3,17,1,44.0,-1,0,5500000,, Свердлова,46,Щёлковская,
Абсолют Недвижимость,representative_developer,,Балашиха,sale,flat,19,22,1,33.62,-1,0,5856558,,,к6,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,,Балашиха,sale,flat,10,24,2,69.8,-1,0,10550000,, Разина,1А,Салтыковская,28 микрорайон
ID 10606565,realtor,,Балашиха,sale,flat,2,9,1,30.0,-1,0,3780000,, 40 лет Победы,9,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,20,22,1,34.3,-1,0,6476989,, Бояринова,30,Ольгино,Новоград Павлино
БАРС Лизинг,real_estate_agent,,Балашиха,sale,flat,3,24,1,46.8,-1,0,7773000,, Разина,1А,Салтыковская,28 микрорайон
Елена Хмура,realtor,,Балашиха,sale,flat,12,16,1,34.2,-1,0,5150000,,,16,Щёлковская,
Стройинвест,representative_developer,,Балашиха,sale,flat,16,17,2,49.8,-1,0,8396380,, Поликахина,2,Лухмановская,Центр-2
БАРС Лизинг,real_estate_agent,,Балашиха,sale,flat,14,24,1,41.3,-1,0,7100000,, Разина,1А,Салтыковская,28 микрорайон
Ваши Соседи Торги,real_estate_agent,,Балашиха,sale,flat,3,6,1,36.9,-1,0,4428000,,Школьная ,25,Салтыковская,Квартал Европа
Самолет,developer,,Балашиха,sale,flat,8,22,1,46.96,-1,0,7154450,,,к8,Некрасовка,Новоград Павлино
do A.S.A.P.,real_estate_agent,,Балашиха,sale,flat,13,14,2,67.0,-1,0,11950000,, Евстафьева,9,Салтыковская,
CENTURY 21 Перспектива,real_estate_agent,,Балашиха,sale,flat,2,4,2,55.0,-1,0,5500000,,Институтская ,22А,Кучино,
Абсолют Недвижимость,representative_developer,,Балашиха,sale,flat,18,22,2,36.9,-1,0,6169013,,,к6,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,,Балашиха,sale,flat,23,24,2,69.8,-1,0,10550000,, Разина,1А,Салтыковская,28 микрорайон
ОГРК,real_estate_agent,,Балашиха,sale,flat,10,12,2,40.0,-1,0,4699000,, 1 Мая,2,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,17,22,2,54.66,-1,0,10221467,,,к8,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,3,17,2,57.4,-1,0,8543160,,проспект Героев,12,Железнодорожная,
Анна Панасенко,realtor,,Балашиха,sale,flat,7,9,1,34.2,-1,0,5200000,, Маяковского,2,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,20,22,1,42.89,-1,0,7243778,,,к8,Некрасовка,Новоград Павлино
БАРС Лизинг,real_estate_agent,,Балашиха,sale,flat,13,24,1,41.4,-1,0,7100000,, Разина,1А,Салтыковская,28 микрорайон
PROнедвижимость,real_estate_agent,,Балашиха,sale,flat,4,14,1,37.3,-1,0,5400000,,Московский бульвар,2,Салтыковская,
Стройинвест,representative_developer,,Балашиха,sale,flat,16,17,2,57.7,-1,0,8587680,,проспект Героев,12,Лухмановская,Центр-2
CENTURY 21 Перспектива,real_estate_agent,,Балашиха,sale,flat,1,5,2,41.0,-1,0,5700000,, Береговая,1,Кучино,
Магазин квартир,real_estate_agent,,Балашиха,sale,flat,5,5,2,43.0,-1,0,4950000,, Маяковского,21,Железнодорожная,
Стройинвест,representative_developer,,Балашиха,sale,flat,16,17,2,56.9,-1,0,9220040,, Поликахина,2,Лухмановская,Центр-2
do A.S.A.P.,real_estate_agent,,Балашиха,sale,flat,2,27,2,52.0,-1,0,11000000,, Некрасова,11Б,Кучино,Новое Измайлово-2
Юникор Недвижимость,real_estate_agent,,Балашиха,sale,flat,7,11,1,16.6,-1,0,3600000,,проспект Ленина,36,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,4,13,1,40.79,-1,0,6202211,,,к3,Салтыковская,Квартал Авиаторов ЖК
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,13,17,2,57.8,-1,0,8602520,,проспект Героев,12,Железнодорожная,
Наталья Парфирьева,realtor,,Балашиха,sale,flat,3,9,1,36.6,-1,0,5800000,, Пролетарская,8,Железнодорожная,
Стройинвест,representative_developer,,Балашиха,sale,flat,5,17,2,55.4,-1,0,8412560,,проспект Героев,12,Лухмановская,Центр-2
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,17,17,2,57.9,-1,0,8617360,,проспект Героев,12,Железнодорожная,
Асмик Алиханян,realtor,,Балашиха,sale,flat,4,16,1,43.3,-1,0,5499000,, Майкла Лунна,8,Щёлковская,
Стройинвест,representative_developer,,Балашиха,sale,flat,3,17,1,48.8,-1,0,7174200,, Поликахина,2,Лухмановская,Центр-2
do A.S.A.P.,real_estate_agent,,Балашиха,sale,flat,6,6,1,41.0,-1,0,7050000,, Народного ополчения,2,Железнодорожная,Столичный
Life Style,real_estate_agent,,Балашиха,sale,flat,3,3,2,50.6,-1,0,6000000,, Советская,32,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,4,17,1,48.04,-1,0,7249232,,,к7,Салтыковская,Квартал Авиаторов ЖК
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,5,17,2,49.8,-1,0,7842810,, Поликахина,2,Железнодорожная,
Маршрут Построен,real_estate_agent,,Балашиха,sale,flat,7,9,1,35.0,-1,0,5100000,, Пионерская,23,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,15,22,2,70.13,-1,0,11137117,,,к6,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,12,17,1,36.7,-1,0,6010770,,проспект Героев,12,Новокосино,
ID 66468232,homeowner,,Балашиха,sale,flat,17,21,1,40.0,-1,0,6300000,, Граничная,38,Ольгино,
Самолет,developer,,Балашиха,sale,flat,8,24,2,60.13,-1,0,8966333,,,,Салтыковская,Квартал Авиаторов ЖК
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,16,17,1,37.1,-1,0,6076010,,проспект Героев,12,Новокосино,
Октава-Недвижимость,real_estate_agent,,Балашиха,sale,flat,4,5,1,31.0,-1,0,4300000,, Юбилейная,14,Железнодорожная,
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,16,17,2,48.6,-1,0,9379800,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,12,17,2,55.4,-1,0,8412560,,проспект Героев,12,Железнодорожная,
CENTURY21 Союз,real_estate_agent,,Балашиха,sale,flat,4,17,2,56.37,-1,0,7500000,, Ленина,1/5,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,10,22,1,39.16,-1,0,6624815,,,,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,6,17,1,37.2,-1,0,6092320,,проспект Героев,12,Железнодорожная,
МИЭЛЬ,real_estate_agent,,Балашиха,sale,flat,6,19,1,44.4,-1,0,5800000,,Московский проезд,13,Салтыковская,"Балашиха, мкр. 25"
Самолет,developer,,Балашиха,sale,flat,8,22,1,45.02,-1,0,7407333,,,,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,13,17,2,55.4,-1,0,8412560,,проспект Героев,12,Железнодорожная,
Наталья Лакина,realtor,,Балашиха,sale,flat,17,18,1,37.0,-1,0,4700000,, Лукино,51А,Щёлковская,
Самолет,developer,,Балашиха,sale,flat,21,22,2,54.66,-1,0,9940230,,,к6,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,11,17,2,64.4,-1,0,9524000,,проспект Героев,12,Новокосино,
CENTURY 21 Перспектива,real_estate_agent,,Балашиха,sale,flat,4,18,1,39.0,-1,0,6250000,, Маяковского,26,Железнодорожная,
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,14,17,1,30.0,-1,0,6210000,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,3,17,2,55.5,-1,0,8427700,,проспект Героев,12,Железнодорожная,
Квартирный вопрос,real_estate_agent,,Балашиха,sale,flat,12,12,1,37.5,-1,0,5750000,,,40,Никольское,
Самолет,developer,,Балашиха,sale,flat,20,22,1,36.61,-1,0,6334409,,,к7,Некрасовка,Новоград Павлино
PROНЕДВИЖИМОСТЬ,real_estate_agent,,Балашиха,sale,flat,14,15,2,53.1,-1,0,10300000,,Солнечная ,22,Салтыковская,
Виктор Орешков,realtor,,Балашиха,sale,flat,6,9,2,34.0,-1,0,5495000,, Маяковского,20,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,2,24,1,47.96,-1,0,7088719,,,,Салтыковская,Квартал Авиаторов ЖК
Макспол Парк Культуры,real_estate_agent,,Балашиха,sale,flat,6,20,1,45.5,-1,0,4900000,, Чистопольская,32,Щёлковская,Эдельвейс-Комфорт
Юникор Недвижимость,real_estate_agent,,Балашиха,sale,flat,11,13,1,34.1,-1,0,4900000,,проспект Ленина,30,Салтыковская,
Стройинвест,representative_developer,,Балашиха,sale,flat,4,17,2,56.3,-1,0,8211020,, Поликахина,2,Лухмановская,Центр-2
ФСК Агент,real_estate_agent,,Балашиха,sale,flat,4,17,2,63.1,-1,0,8000000,, Корнилаева,20,Железнодорожная,
Челофт,real_estate_agent,,Балашиха,sale,flat,18,21,1,40.2,-1,0,5700000,, Граничная,38,Ольгино,
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,3,17,1,32.1,-1,0,6420000,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
ФСК Агент,real_estate_agent,,Балашиха,sale,flat,4,17,2,63.7,-1,0,7505700,, Лесопарковая,18,Железнодорожная,
Виталий Русаков,realtor,,Балашиха,sale,flat,6,19,1,37.0,-1,0,5150000,, Троицкая,4,Ольгино,Новое Павлино
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,10,17,1,35.2,-1,0,7110400,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
ID 12965146,unknown,,Балашиха,sale,flat,16,16,2,54.0,-1,0,7450000,,,16,Щёлковская,
CENTURY 21 Перспектива,real_estate_agent,,Балашиха,sale,flat,2,5,1,30.2,-1,0,4500000,,шоссе Энтузиастов,73,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,15,17,1,36.69,-1,0,7952907,,,к8,Щёлковская,Квартал Авиаторов ЖК
ОГРК,real_estate_agent,,Балашиха,sale,flat,15,19,1,42.5,-1,0,5950000,, Троицкая,2,Ольгино,Новое Павлино
ID 123349796,homeowner,,Балашиха,sale,flat,4,19,1,45.9,-1,0,6500000,,Московский проезд,13,Салтыковская,"Балашиха, мкр. 25"
Абсолют Недвижимость,representative_developer,,Балашиха,sale,flat,19,22,2,37.1,-1,0,6345827,,,к7,Некрасовка,Новоград Павлино
ФСК Агент,real_estate_agent,,Балашиха,sale,flat,2,18,2,60.0,-1,0,8240000,,Зеленая ,33,Никольское,Жемчужина Балашихи
Самолет Плюс Москва,real_estate_agent,,Балашиха,sale,flat,5,5,1,31.0,-1,0,4450000,, Заводская,6,Ольгино,
Самолет,developer,,Балашиха,sale,flat,19,22,1,37.2,-1,0,6538393,, Бояринова,36,Ольгино,Новоград Павлино
ФСК Агент,real_estate_agent,,Балашиха,sale,flat,1,18,2,54.0,-1,0,6990000,,Зеленая ,33,Никольское,Жемчужина Балашихи
Олеся Власкина,realtor,,Балашиха,sale,flat,7,9,1,38.0,-1,0,5200000,, Карла Маркса,16а,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,14,22,1,42.89,-1,0,7134280,,,к7,Некрасовка,Новоград Павлино
ФСК Агент,real_estate_agent,,Балашиха,sale,flat,15,19,1,42.5,-1,0,6450000,,проспект Героев,9,Железнодорожная,
ID 13694606,homeowner,,Балашиха,sale,flat,1,9,1,34.8,-1,0,5580000,, Советская,34,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,22,22,1,43.77,-1,0,6786856,,,,Некрасовка,Новоград Павлино
Консультант по недвижимости 62,real_estate_agent,,Балашиха,sale,flat,9,10,1,32.0,-1,0,5650000,, Свердлова,35,Салтыковская,
Нина Коваленко,realtor,,Балашиха,sale,flat,1,21,1,38.0,-1,0,4990000,, Граничная,38,Ольгино,
Самолет,developer,,Балашиха,sale,flat,7,22,1,36.9,-1,0,6676290,, Бояринова,30,Ольгино,Новоград Павлино
ОГРК,real_estate_agent,,Балашиха,sale,flat,7,21,1,34.5,-1,0,6499000,,проспект Героев,16,Железнодорожная,
ОГРК,real_estate_agent,,Балашиха,sale,flat,2,5,1,30.7,-1,0,4500000,,Парковая ,13,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,20,22,1,36.0,-1,0,7307928,, Бояринова,36,Ольгино,Новоград Павлино
ОГРК,real_estate_agent,,Балашиха,sale,flat,15,17,1,39.9,-1,0,6499000,, Поликахина,1,Железнодорожная,
ID 123257791,homeowner,,Балашиха,sale,flat,13,17,1,39.5,-1,0,6470000,,Советская ,56,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,19,22,2,70.14,-1,0,12198609,,,к7,Некрасовка,Новоград Павлино
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,16,16,1,35.2,-1,0,5850000,, Струве,11,Железнодорожная,Центр-2
Екатерина Гора,realtor,,Балашиха,sale,flat,2,4,2,44.2,-1,0,5700000,,,99В,Первомайская,
Абсолют Недвижимость,representative_developer,,Балашиха,sale,flat,15,20,1,36.0,-1,0,5757887,, Романычева,5,Некрасовка,Новоград Павлино
Гранд Сервис Недвижимость,real_estate_agent,,Балашиха,sale,flat,2,14,1,38.0,-1,0,6999000,,бульвар Молодежный,5/3,Щёлковская,Щитниково Янтарный
ИНФИНИТИ,real_estate_agent,,Балашиха,sale,flat,17,21,1,31.1,-1,0,5500000,, Бояринова,19,Ольгино,Новоград Павлино
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,3,17,2,49.6,-1,0,9374400,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
Century 21 Харламов,real_estate_agent,,Балашиха,sale,flat,7,9,1,32.4,-1,0,5555555,, Победы,18,Салтыковская,
ID 116375084,homeowner,,Балашиха,sale,flat,6,22,1,43.51,-1,0,5900000,, Дмитриева,12,Первомайская,Алексеевская роща
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,15,17,2,54.3,-1,0,10425600,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
Доступная Недвижимость. 8 отдел,real_estate_agent,,Балашиха,sale,flat,3,10,1,33.1,-1,0,5150000,, Свердлова,57,Щёлковская,
МИРА  - городская недвижимость,real_estate_agent,,Балашиха,sale,flat,5,21,1,38.0,-1,0,5299999,, Бояринова,25,Ольгино,Новоград Павлино
Абсолют Недвижимость,representative_developer,,Балашиха,sale,flat,21,22,2,37.11,-1,0,6230950,,,к8,Некрасовка,Новоград Павлино
Людмила Горбачева,realtor,,Балашиха,sale,flat,5,5,2,44.5,-1,0,6500000,, Юлиуса Фучика,2к1,Кучино,
ДИАЛОГ ВОСТОК-ЗАПАД,real_estate_agent,,Балашиха,sale,flat,2,9,1,32.7,-1,0,4800000,,Московский бульвар,3,Салтыковская,
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,12,17,2,48.8,-1,0,9516000,г. Балашиха,ул. Твардовского,к4,Новокосино,Квартал Светлый ЖК
Екатерина Борзенкова,realtor,,Балашиха,sale,flat,17,24,2,65.0,-1,0,9950000,,проезд Акуловский,4,Щёлковская,Щитниково Янтарный
Этажи Москва,real_estate_agent,,Балашиха,sale,flat,3,17,1,32.0,-1,0,5400000,, Безымянная,14,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,22,22,1,32.6,-1,0,6209200,, Бояринова,36,Ольгино,Новоград Павлино
Александр Мащенко,realtor,,Балашиха,sale,flat,3,13,2,80.0,-1,0,11500000,, Ситникова,2,Реутов,Новогиреевский
ID 118851029,homeowner,,Балашиха,sale,flat,4,12,1,41.5,-1,0,6199000,, Московская,1,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,16,17,2,53.58,-1,0,9010709,,,к3,Салтыковская,Квартал Авиаторов ЖК
Наталья Сказка,realtor,,Балашиха,sale,flat,17,17,1,35.0,-1,0,6695000,, Колдунова,10,Щёлковская,
АНПЛАНЕТА,real_estate_agent,,Балашиха,sale,flat,2,12,1,41.0,-1,0,4800000,,Спортивная ,10,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,8,17,1,39.04,-1,0,5989898,,,к2,Салтыковская,Квартал Авиаторов ЖК
МИЦ-Столичный ипотечный центр недвижимости,real_estate_agent,,Балашиха,sale,flat,10,22,1,34.0,-1,0,7100000,,шоссе Косинское,7,Ольгино,Новоград Павлино
ВАШ ДОМ,real_estate_agent,,Балашиха,sale,flat,3,21,1,34.6,-1,0,5500000,, Граничная,38,Ольгино,
Абсолют Недвижимость,representative_developer,,Балашиха,sale,flat,20,22,1,33.61,-1,0,5909384,,,к8,Некрасовка,Новоград Павлино
Гранд Сервис Недвижимость,real_estate_agent,,Балашиха,sale,flat,19,24,1,43.0,-1,0,7550000,,проезд Акуловский,6,Щёлковская,Щитниково Янтарный
ID 1231948,homeowner,,Балашиха,sale,flat,11,17,1,38.0,-1,0,6000000,,,11,Щёлковская,Щитниково Изумрудный
Самолет,developer,,Балашиха,sale,flat,11,22,2,70.13,-1,0,11869012,,,к8,Некрасовка,Новоград Павлино
Karlson Realty,real_estate_agent,,Балашиха,sale,flat,3,9,2,68.5,-1,0,12000000,, Ситникова,8,Реутов,Новое Измайлово
Риэл-Макс,real_estate_agent,,Балашиха,sale,flat,18,18,2,32.9,-1,0,4900000,, Главная,1,Железнодорожная,
Стройинвест,representative_developer,,Балашиха,sale,flat,3,17,2,57.4,-1,0,8543160,,проспект Героев,12,Лухмановская,Центр-2
СТРОЙИНВЕСТ,real_estate_agent,,Балашиха,sale,flat,11,17,1,37.2,-1,0,6092320,,проспект Героев,12,Новокосино,
МИЭЛЬ - Офис в Железнодорожном,real_estate_agent,,Балашиха,sale,flat,2,3,2,46.1,-1,0,5700000,, Почтовая,8,Кучино,
Самолет,developer,,Балашиха,sale,flat,5,22,1,38.8,-1,0,6604914,, Бояринова,36,Ольгино,Новоград Павлино
Этажи Москва,real_estate_agent,,Балашиха,sale,flat,8,9,1,34.8,-1,0,5350000,,,22,Ольгино,
Юрий Морозов,realtor,,Балашиха,sale,flat,2,5,2,42.3,-1,0,4999999,, Пионерская,3,Железнодорожная,
Самолет,developer,,Балашиха,sale,flat,11,13,2,59.94,-1,0,9221748,,,к3,Салтыковская,Квартал Авиаторов ЖК
Самолет Плюс Москва,real_estate_agent,,Балашиха,sale,flat,4,5,1,38.0,-1,0,5300000,,шоссе Энтузиастов,вл2с286,Никольское,
EstateLiga,real_estate_agent,,Балашиха,sale,flat,1,5,2,46.0,-1,0,5350000,, Пролетарская,46,Железнодорожная,
СЕТЬСТРОЙ БАЛАШИХА,developer,,Балашиха,sale,flat,8,17,1,35.0,-1,0,7017500,г. Балашиха,ул. Твардовского,к3,Новокосино,Квартал Светлый ЖК
ID 62524363,realtor,,Балашиха,sale,flat,11,18,1,42.0,-1,0,6400000,, Струве,9,Железнодорожная,Центр-2
ФСК Агент,real_estate_agent,,Балашиха,sale,flat,1,17,1,37.8,-1,0,5038400,, Лесопарковая,18,Железнодорожная,
Абсолют Недвижимость,representative_developer,,Балашиха,sale,flat,19,22,2,54.66,-1,0,9900713,,,к6,Некрасовка,Новоград Павлино
ID 97308249,realtor,,Балашиха,sale,flat,7,17,2,55.0,-1,0,11325600,,Молодежная ,11,Салтыковская,
CENTURY 21 Aurum,real_estate_agent,,Балашиха,sale,flat,1,5,1,28.5,-1,0,4250000,, Быковского,6,Салтыковская,
Самолет,developer,,Балашиха,sale,flat,6,22,2,46.73,-1,0,8883887,,,к7,Некрасовка,Новоград Павлино
Самолет Плюс Москва,real_estate_agent,,Балашиха,sale,flat,5,9,1,30.0,-1,0,6650000,,проспект Ленина,31,Салтыковская,
Кремлёвские Ключи,real_estate_agent,,Балашиха,sale,flat,14,17,1,31.1,-1,0,5600000,, Лукино,51А,Щёлковская,
Стройинвест,representative_developer,,Балашиха,sale,flat,17,17,2,67.1,-1,0,9640430,, Поликахина,2,Лухмановская,Центр-2
Галина Кадочникова,realtor,,Балашиха,sale,flat,9,18,2,71.2,-1,0,14000000,, Флерова,4А,Салтыковская,
АЯКС,real_estate_agent,,Балашиха,sale,flat,12,25,1,36.0,-1,0,5499000,,Балашихинское шоссе,8к2,Щёлковская,
Самолет,developer,,Балашиха,sale,flat,9,22,2,46.79,-1,0,8951348,,,к6,Некрасовка,Новоград Павлино
Этажи Москва,real_estate_agent,,Балашиха,sale,flat,5,14,2,64.9,-1,0,10900000,,проспект Ленина,32а,Салтыковская,
МИРА,real_estate_agent,,Балашиха,sale,flat,5,21,1,38.0,-1,0,5299999,, Бояринова,15,Ольгино,Новоград Павлино
Самолет,developer,,Балашиха,sale,flat,11,17,2,62.73,-1,0,12308590,,,к8,Щёлковская,Квартал Авиаторов ЖК
На Петровке,real_estate_agent,,Балашиха,sale,flat,21,24,1,45.4,-1,0,8000000,, Кольцевая,3к3,Щёлковская,Щитниково Янтарный
МИЭЛЬ,real_estate_agent,,Балашиха,sale,flat,2,5,2,45.2,-1,0,5250000,,шоссе Энтузиастов,37,Салтыковская,
Стройинвест,representative_developer,,Балашиха,sale,flat,11,17,2,64.4,-1,0,9524000,,проспект Героев,12,Лухмановская,Центр-2
Самолет Плюс Москва,real_estate_agent,,Балашиха,sale,flat,6,14,1,37.7,-1,0,6600000,,бульвар Спасский,7,Железнодорожная,Столичный
Ирина Кузнецова,realtor,,Балашиха,sale,flat,15,25,1,48.0,-1,0,5750000,, Дмитриева,20,Щёлковская,Алексеевская роща
Самолет,developer,,Балашиха,sale,flat,14,17,2,55.47,-1,0,11596429,,,к8,Щёлковская,Квартал Авиаторов ЖК
ID 224783,realtor,,Балашиха,sale,flat,16,25,1,48.0,-1,0,8000000,, Строителей,3,Салтыковская,Новое Измайлово
МГСН-Центр оформления,real_estate_agent,,Балашиха,sale,flat,3,9,1,32.5,-1,0,5150000,,,8,Щёлковская,
Самолет,developer,,Балашиха,sale,flat,14,17,2,53.1,-1,0,10671184,,,к8,Щёлковская,Квартал Авиаторов ЖК
ID 112062592,realtor,,Балашиха,sale,flat,4,17,1,37.7,-1,0,6900000,, Кольцевая,18,Щёлковская,Щитниково Янтарный
ИНКОМ-Недвижимость,real_estate_agent,,Балашиха,sale,flat,15,23,1,33.1,-1,0,5100000,,,4К1,Щёлковская,Микрорайон 
Самолет,developer,,Балашиха,sale,flat,21,22,2,42.71,-1,0,8904363,,,,Некрасовка,Новоград Павлино
Самолет Плюс Москва ЦАО,real_estate_agent,,Балашиха,sale,flat,14,17,2,58.0,-1,0,11500000,,,29,Щёлковская,
CENTURY 21 Перспектива,real_estate_agent,,Балашиха,sale,flat,1,4,2,43.4,-1,0,6100000,,Зеленая ,28,Щёлковская,
ПИК,developer,,Балашиха,sale,flat,2,15,1,39.3,-1,0,9586802,, Реутовская,12,Первомайская,Измайловский лес
ID 95919270,realtor,,Балашиха,sale,flat,2,13,2,57.66,-1,0,8919058,, Дмитриева,10,Щёлковская,Алексеевская роща
